variable,year,sex,name,n,prop
XAVIER-1991,1991,M,XAVIER,138,0.41
XAVIER-1992,1992,M,XAVIER,169,0.52
XAVIER-1993,1993,M,XAVIER,144,0.46
XAVIER-1994,1994,M,XAVIER,176,0.57
XAVIER-1995,1995,M,XAVIER,212,0.71
XAVIER-1996,1996,M,XAVIER,253,0.89
XAVIER-1997,1997,M,XAVIER,244,0.93
XAVIER-1998,1998,M,XAVIER,249,1.02
XAVIER-1999,1999,M,XAVIER,245,1.03
XAVIER-2000,2000,M,XAVIER,378,1.65
XAVIER-2001,2001,M,XAVIER,509,2.18
XAVIER-2002,2002,M,XAVIER,687,3.06
XAVIER-2003,2003,M,XAVIER,611,2.73
XAVIER-2004,2004,M,XAVIER,614,2.8
XAVIER-2005,2005,M,XAVIER,589,2.71
XAVIER-2006,2006,M,XAVIER,591,2.56
XAVIER-2007,2007,M,XAVIER,546,2.36
XAVIER-2008,2008,M,XAVIER,609,2.57
XAVIER-2009,2009,M,XAVIER,585,2.49
XAVIER-2010,2010,M,XAVIER,542,2.4
XAVIER-2011,2011,M,XAVIER,491,2.22
XAVIER-2012,2012,M,XAVIER,452,2.04
XAVIER-2013,2013,M,XAVIER,449,2.1
XAVIER-2014,2014,M,XAVIER,390,1.93
XAVIER-2015,2015,M,XAVIER,374,1.9
XAVIER-2016,2016,M,XAVIER,338,1.78
XAVIER-2017,2017,M,XAVIER,300,1.78
XAVIER-2018,2018,M,XAVIER,263,1.62
ZACHARY-1980,1980,M,ZACHARY,3,0.01
ZACHARY-1981,1981,M,ZACHARY,5,0.02
ZACHARY-1982,1982,M,ZACHARY,6,0.02
ZACHARY-1983,1983,M,ZACHARY,5,0.02
ZACHARY-1984,1984,M,ZACHARY,6,0.02
ZACHARY-1985,1985,M,ZACHARY,14,0.05
ZACHARY-1986,1986,M,ZACHARY,15,0.05
ZACHARY-1987,1987,M,ZACHARY,16,0.05
ZACHARY-1988,1988,M,ZACHARY,19,0.06
ZACHARY-1989,1989,M,ZACHARY,26,0.08
ZACHARY-1990,1990,M,ZACHARY,37,0.11
ZACHARY-1991,1991,M,ZACHARY,40,0.12
ZACHARY-1992,1992,M,ZACHARY,52,0.16
ZACHARY-1993,1993,M,ZACHARY,66,0.21
ZACHARY-1994,1994,M,ZACHARY,66,0.21
ZACHARY-1995,1995,M,ZACHARY,81,0.27
ZACHARY-1996,1996,M,ZACHARY,87,0.3
ZACHARY-1997,1997,M,ZACHARY,111,0.42
ZACHARY-1998,1998,M,ZACHARY,149,0.61
ZACHARY-1999,1999,M,ZACHARY,241,1.02
ZACHARY-2000,2000,M,ZACHARY,484,2.11
ZACHARY-2001,2001,M,ZACHARY,620,2.65
ZACHARY-2002,2002,M,ZACHARY,512,2.28
ZACHARY-2003,2003,M,ZACHARY,536,2.39
ZACHARY-2004,2004,M,ZACHARY,515,2.35
ZACHARY-2005,2005,M,ZACHARY,467,2.15
ZACHARY-2006,2006,M,ZACHARY,608,2.63
ZACHARY-2007,2007,M,ZACHARY,556,2.41
ZACHARY-2008,2008,M,ZACHARY,537,2.27
ZACHARY-2009,2009,M,ZACHARY,491,2.09
ZACHARY-2010,2010,M,ZACHARY,441,1.95
ZACHARY-2011,2011,M,ZACHARY,445,2.01
ZACHARY-2012,2012,M,ZACHARY,400,1.81
ZACHARY-2013,2013,M,ZACHARY,347,1.62
ZACHARY-2014,2014,M,ZACHARY,339,1.68
ZACHARY-2015,2015,M,ZACHARY,296,1.5
ZACHARY-2016,2016,M,ZACHARY,242,1.28
ZACHARY-2017,2017,M,ZACHARY,204,1.21
ZACHARY-2018,2018,M,ZACHARY,202,1.25
ZACK-1980,1980,M,ZACK,0,0
ZACK-1981,1981,M,ZACK,1,0
ZACK-1982,1982,M,ZACK,0,0
ZACK-1983,1983,M,ZACK,1,0
ZACK-1984,1984,M,ZACK,0,0
ZACK-1985,1985,M,ZACK,0,0
ZACK-1986,1986,M,ZACK,1,0
ZACK-1987,1987,M,ZACK,1,0
ZACK-1988,1988,M,ZACK,1,0
ZACK-1989,1989,M,ZACK,0,0
ZACK-1990,1990,M,ZACK,0,0
ZACK-1991,1991,M,ZACK,1,0
ZACK-1992,1992,M,ZACK,1,0
ZACK-1993,1993,M,ZACK,2,0.01
ZACK-1994,1994,M,ZACK,2,0.01
ZACK-1995,1995,M,ZACK,2,0.01
ZACK-1996,1996,M,ZACK,3,0.01
ZACK-1997,1997,M,ZACK,5,0.02
ZACK-1998,1998,M,ZACK,4,0.02
ZACK-1999,1999,M,ZACK,8,0.03
ZACK-2000,2000,M,ZACK,12,0.05
ZACK-2001,2001,M,ZACK,17,0.07
ZACK-2002,2002,M,ZACK,20,0.09
ZACK-2003,2003,M,ZACK,38,0.17
ZACK-2004,2004,M,ZACK,48,0.22
ZACK-2005,2005,M,ZACK,44,0.2
ZACK-2006,2006,M,ZACK,80,0.35
ZACK-2007,2007,M,ZACK,106,0.46
ZACK-2008,2008,M,ZACK,155,0.65
ZACK-2009,2009,M,ZACK,229,0.97
ZACK-2010,2010,M,ZACK,275,1.22
ZACK-2011,2011,M,ZACK,290,1.31
ZACK-2012,2012,M,ZACK,318,1.44
ZACK-2013,2013,M,ZACK,329,1.54
ZACK-2014,2014,M,ZACK,317,1.57
ZACK-2015,2015,M,ZACK,336,1.7
ZACK-2016,2016,M,ZACK,355,1.87
ZACK-2017,2017,M,ZACK,292,1.73
ZACK-2018,2018,M,ZACK,281,1.73
